ID,smiles,lgK,ref_num,doi
A1,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,22.03,22,10.1002/ejic.200901261
A1,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,22.26,23,10.1002/mrm.1910080208
A1,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,22.46,24,10.1016/0022-1902(62)80236-x
A2,O=C(O)CCC(C(=O)O)N(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,21.66,25,10.1016/S0010-8545(99)00237-4
A3,O=C(O)CN(CCN(CCN(CC(=O)O)CC(=O)O)C(COCc1ccccc1)C(=O)O)CC(=O)O,22.23,25,10.1016/S0010-8545(99)00237-4
A4,Nc1ccc(CC(C(=O)O)N(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O)cc1,22.0,26,10.1021/jm9602118
A5,CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,18.6,27,10.1021/ic800512k
A6,CCN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,17.79,28,10.1021/ic00212a005
A7,O=C(O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CP(=O)(O)O)CC(=O)O,22.79,29,10.1002/cmmi.131
A8,NCCC(N(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O)P(=O)(O)O,22.34,29,10.1002/cmmi.131
A9,CNC(=O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,19.9,39,10.1039/b005298l
A10,O=C(O)CN(CCN(CCN(CC(=O)O)CC(=O)O)Cc1ccccn1)CC(=O)O,21.59,32,10.1016/S0277-5387(00)00502-7
A11,O=C(O)CN(CCN(CC(=O)O)C(COCc1ccccc1)C(=O)O)CCN(CC(=O)O)C(COCc1ccccc1)C(=O)O,21.72,25,10.1016/S0010-8545(99)00237-4
A12,CCCOC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)OCCC)CC(=O)O)CC(=O)O,16.3,23,10.1002/mrm.1910080208
A13,CN(CCN(CCN(C)CC(=O)O)CC(=O)O)CC(=O)O,13.12,38,10.1021/ic00110a019
A14,NC(=O)CN(CCN(CCN(CC(N)=O)CC(=O)O)CC(=O)O)CC(=O)O,14.6,34,10.1039/B514173G
A15,COCCNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NCCOC)CC(=O)O)CC(=O)O,16.84,35,10.1097/00004424-199111001-00077
A16,CNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NC)CC(=O)O)CC(=O)O,16.72,36,10.1002/chem.201405967
A16,CNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NC)CC(=O)O)CC(=O)O,16.85,33,10.1016/0730-725X(90)90055-7
A17,CCCNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NCCC)CC(=O)O)CC(=O)O,16.23,23,10.1002/mrm.1910080208
A18,CCCCNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NCCCC)CC(=O)O)CC(=O)O,16.5,34,10.1039/B514173G
A19,CCOC(=O)CNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NCC(=O)OCC)CC(=O)O)CC(=O)O,16.7,37,10.1021/acs.inorgchem.6b02158
A20,O=C(O)CNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NCC(=O)O)CC(=O)O)CC(=O)O,16.17,37,10.1021/acs.inorgchem.6b02158
A21,COCCN(C)C(=O)CN(CCN(CCN(CC(=O)O)CC(=O)N(C)CCOC)CC(=O)O)CC(=O)O,17.68,35,10.1097/00004424-199111001-00077
A22,COCCN(CCO)C(=O)CN(CCN(CCN(CC(=O)O)CC(=O)N(CCO)CCOC)CC(=O)O)CC(=O)O,17.49,35,10.1097/00004424-199111001-00077
A23,CCCCN(CCCC)C(=O)CN(CCN(CCN(CC(=O)O)CC(=O)N(CCCC)CCCC)CC(=O)O)CC(=O)O,19.0,34,10.1039/B514173G
A24,O=C(O)CN(CCN(CC(=O)O)Cc1ccccn1)CCN(CC(=O)O)Cc1ccccn1,16.83,33,10.1016/0730-725X(90)90055-7
A25,CCCNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CC(=O)O,19.68,23,10.1002/mrm.1910080208
A26,CCCOC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CC(=O)O,18.91,23,10.1002/mrm.1910080208
A27,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)C(COCc1ccccc1)C(=O)O,21.91,22,10.1002/ejic.200901261
A28,O=C(O)CCN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CC(=O)O,19.74,40,10.1016/S0277-5387(00)86256-7
A29,CNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CC(=O)O,19.4,39,10.1039/b005298l
A30,O=C(O)CN(CCN(CCN(CC(=O)O)C(COCc1ccccc1)C(=O)O)C(COCc1ccccc1)C(=O)O)C(COCc1ccccc1)C(=O)O,22.18,25,10.1016/S0010-8545(99)00237-4
A31,O=C(O)CN(CCN(CC(=O)O)C[C@H](COP(=O)(O)OC1CCC(c2ccccc2)(c2ccccc2)CC1)N(CC(=O)O)CC(=O)O)CC(=O)O,22.06,41,10.1021/ic001117r
