ID,name,smiles,lgK,delta,ref_num,doi
104,"rac-trans-1,2-CPDTA",O=C(O)CN(CC(=O)O)C1CCCC1N(CC(=O)O)CC(=O)O,18.24,,78,10.1016/s0003-2670(01)95804-0
105,"rac-trans-1,2-CDTA",O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,18.12,0.05,48,10.1016/0022-1902(77)80538-1
105,"rac-trans-1,2-CDTA",O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,18.77,0.06,74,10.1002/hlca.19540370402
105,"rac-trans-1,2-CDTA",O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,18.8,0.04,79,10.1016/0022-1902(62)80018-9
105,"rac-trans-1,2-CDTA",O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,18.97,0.01,80,10.1016/s0003-2670(00)84867-9
105,"rac-trans-1,2-CDTA",O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,19.5,,75,10.1002/chin.198535056
106,TMTA,O=C(O)CN(CCCN(CC(=O)O)CC(=O)O)CC(=O)O,13.74,,81,10.1002/hlca.19640470715
107,DMPDTA,CC(C)(CN(CC(=O)O)CC(=O)O)CN(CC(=O)O)CC(=O)O,12.3,0.01,82,10.1002/ejic.201101294
108,DHPTA,O=C(O)CN(CC(=O)O)CC(O)CN(CC(=O)O)CC(=O)O,13.94,,83,10.1021/ic00224a041
109,PMDTA,O=C(O)CN(CCCCCN(CC(=O)O)CC(=O)O)CC(=O)O,10.37,,84,10.1016/s0277-5387(00)87165-x
110,BPETA,O=C(O)CN(CCCOCCCN(CC(=O)O)CC(=O)O)CC(=O)O,11.74,0.05,85,10.1021/ic00178a027
111,EGTA,O=C(O)CN(CCOCCOCCN(CC(=O)O)CC(=O)O)CC(=O)O,16.94,0.1,86,10.1021/j100808a028
111,EGTA,O=C(O)CN(CCOCCOCCN(CC(=O)O)CC(=O)O)CC(=O)O,17.5,0.02,86,10.1021/j100808a028
112,BAPTA,O=C(O)CN(CC(=O)O)c1ccccc1OCCOc1ccccc1N(CC(=O)O)CC(=O)O,10.6,0.1,87,10.1246/bcsj.66.3377
112,BAPTA,O=C(O)CN(CC(=O)O)c1ccccc1OCCOc1ccccc1N(CC(=O)O)CC(=O)O,10.94,0.05,88,10.1002/jccs.199000033
113,DETAP,O=C(O)CCN(CCOCCN(CC(=O)O)CC(=O)O)CC(=O)O,15.21,0.05,89,10.1021/ic00213a019
114,bpeda,O=C(O)CN(CCN(CC(=O)O)Cc1cccc(C(=O)O)n1)Cc1cccc(C(=O)O)n1,15.1,0.3,90,10.1039/b416150e
115,MEDTA,CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,12.98,,91,10.1021/ic00234a009
116,BEDTA,O=C(O)CN(CCN(CC(=O)O)Cc1ccccc1)CC(=O)O,12.4,0.01,92,10.1021/ic50181a065
116,BEDTA,O=C(O)CN(CCN(CC(=O)O)Cc1ccccc1)CC(=O)O,12.58,,29,10.1016/s0010-8545(99)00237-4
117,HBET,O=C(O)CN(CCN(CC(=O)O)Cc1ccccc1O)CC(=O)O,17.54,0.01,93,10.1016/0020-1693(94)04398-f
118,PEDTA,O=C(O)CN(CCN(CC(=O)O)Cc1ccccn1)CC(=O)O,15.56,0.02,47,10.1515/znc-1997-7-814
119,HEDTA,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,14.8,0.03,48,10.1016/0022-1902(77)80538-1
119,HEDTA,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,15.1,,94,10.1021/ja01582a007
119,HEDTA,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,15.4,,94,10.1021/ja01582a007
120,HPED,O=C(O)CN(CCN(CC(=O)O)c1ccccc1O)c1ccccc1O,21.18,0.5,95,10.1016/s0020-1693(00)84982-8
121,BPED,O=C(O)CN(CCN(CC(=O)O)Cc1ccccn1)Cc1ccccn1,12.37,0.03,96,10.1021/ic9613016
122,HEHA,O=C(O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,22.95,0.05,16,10.1021/ic00006a021
123,PEPA,O=C(O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,15.88,0.05,16,10.1021/ic00006a021
124,DTPA-EAM,O=C(O)CN1CCN(CC(=O)O)CC(=O)NCCNC(=O)CN(CC(=O)O)CC1,11.15,0.03,7,10.1021/ic00046a015
124,DTPA-EAM,O=C(O)CN1CCN(CC(=O)O)CC(=O)NCCNC(=O)CN(CC(=O)O)CC1,11.4,,6,10.1021/ic00091a032
125,N-ac3[15]aneN3O2-bis,O=C(O)CN1CCOCCOCCN(CC(=O)O)CCN(CC(=O)O)CC1,9.98,,98,10.5012/jkcs.2004.48.6.577
126,N-pr3[15]aneN3O2-bis,O=C(O)CCN1CCOCCOCCN(CCC(=O)O)CCN(CCC(=O)O)CC1,16.57,,98,10.5012/jkcs.2004.48.6.577
127,N-pr3[15]aneN3O2,O=C(O)CCN1CCOCCN(CCC(=O)O)CCN(CCC(=O)O)CCOCC1,11.23,,99,10.1006/mchj.1996.0026
128,rac-trans-cyclo-PCTA12,O=C(O)CN1CCN(CC(=O)O)[C@@H]2CCCC[C@H]2N(CC(=O)O)Cc2cccc(n2)C1,,,100,10.1016/j.tet.2006.10.024
129,rac-trans-amido-cyclo-PCTA12,O=C(O)CN1CC(=O)N[C@@H]2CCCC[C@H]2N(CC(=O)O)Cc2cccc(n2)C1,,,101,10.1016/j.tet.2009.06.117
130,P730-1,O=C(O)CCC(C(=O)O)N1CCN(CC(=O)O)CCN(C(CCC(=O)O)C(=O)O)CCN(C(CCC(=O)O)C(=O)O)CC1,,,102,10.1007/bf02594595
131,DOTA(GA)2,O=C(O)CCC(C(=O)O)N1CCN(CC(=O)O)CCN(CC(=O)O)CCN(C(CCC(=O)O)C(=O)O)CC1,,,103,10.1021/ja101518v
132,DOTAGA,O=C(O)CCC(C(=O)O)N1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,,,103,10.1021/ja101518v
132,DOTAGA,O=C(O)CCC(C(=O)O)N1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,,,104,10.1002/hlca.200590044
133,DOTABA,O=C(O)CN1CCN(CC(=O)O)CCN(C(C(=O)O)c2ccc(C(=O)O)cc2)CCN(CC(=O)O)CC1,,,104,10.1002/hlca.200590044
134,DOTASA,O=C(O)CC(C(=O)O)N1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,27.2,0.2,105,10.1002/hlca.200590044
135,DOTA-hydrazide,NNC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,,,106,10.1016/j.tetlet.2012.11.151
136,DO3A-L1,CN(CC(O)C(O)C(O)C(O)CO)C(=O)C(COCc1ccccc1)N1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,26.4,,25,10.1021/ic00038a023
137,DO3A-L2,O=C(O)CN1CCN(CC(=O)O)CCN(C(COCc2ccccc2)C(=O)NC(CO)CO)CCN(CC(=O)O)CC1,25.9,,25,10.1021/ic00038a023
138,"(R,R,R)-DO3MA",C[C@H](C(=O)O)N1CCNCCN([C@H](C)C(=O)O)CCN([C@H](C)C(=O)O)CC1,25.3,,107,10.1021/ic00065a019
139,DO2A,O=C(O)CN1CCNCCN(CC(=O)O)CCNCC1,13.06,0.04,108,10.1039/a803565b
139,DO2A,O=C(O)CN1CCNCCN(CC(=O)O)CCNCC1,19.1,0.3,36,10.1021/ic961131x
139,DO2A,O=C(O)CN1CCNCCN(CC(=O)O)CCNCC1,19.4,0.1,36,10.1021/ic961131x
140,DODPA,O=C(O)c1cccc(CN2CCNCCN(Cc3cccc(C(=O)O)n3)CCNCC2)n1,,,109,10.1021/ic202436j
141,MeDODPA,CN1CCN(Cc2cccc(C(=O)O)n2)CCN(C)CCN(Cc2cccc(C(=O)O)n2)CC1,,,109,10.1021/ic202436j
142,TTHA,O=C(O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,19.51,,46,10.1016/0022-1902(81)80122-4
142,TTHA,O=C(O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,28.4,,110,10.1016/0223-5234(88)90094-3
143,PNP-DTPA,O=C(O)CN(CCN(CC(=O)O)CC(Cc1ccc([N+](=O)[O-])cc1)N(CC(=O)O)CC(=O)O)CC(=O)O,,,111,10.1021/jm980152t
144,PNPM-DTPA,CC(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(Cc1ccc([N+](=O)[O-])cc1)N(CC(=O)O)CC(=O)O,,,111,10.1021/jm980152t
145,"CHX-DTPA, rac-trans-CyDTPA",O=C(O)CN(CCN(CC(=O)O)[C@H]1CCCC[C@@H]1N(CC(=O)O)CC(=O)O)CC(=O)O,,,112,10.1021/ic951326p
146,"CEDTA, DTTA-prop",O=C(O)CCN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,16.71,,113,10.1007/bf00759053
146,"CEDTA, DTTA-prop",O=C(O)CCN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,18.4,,113,10.1007/bf00759053
147,"EPTPA, TTDA",O=C(O)CN(CCCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,17.5,0.3,57,10.1002/chem.200204612
147,"EPTPA, TTDA",O=C(O)CN(CCCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,18.75,0.07,57,10.1002/chem.200204612
147,"EPTPA, TTDA",O=C(O)CN(CCCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,22.77,0.03,114,10.1039/a805837g
148,(S)-EPTPA-bz,O=C(O)CN(CCCN(CC(=O)O)C[C@H](Cc1ccccc1)N(CC(=O)O)CC(=O)O)CC(=O)O,23.79,0.04,115,10.1002/1522-2675(200204)85:4<1033::aid-hlca1033>3.0.co;2-n
149,TTDA-PY,O=C(O)CN(CCCN(CCN(CC(=O)O)CC(=O)O)Cc1ccccn1)CC(=O)O,23.48,0.07,62,10.1039/b107456n
150,DTPA-BEA DTPA-EA2,CCNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NCC)CC(=O)O)CC(=O)O,15.34,,66,10.1097/00004424-199009001-00026
151,DTPA-BHeptA DTPA-HPA2,CCCCCCCNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NCCCCCCC)CC(=O)O)CC(=O)O,15.62,,66,10.1097/00004424-199009001-00026
152,DTPA-MPEA2,O=C(O)CN(CCN(CC(=O)O)CC(=O)NCCN1CCOCC1)CCN(CC(=O)O)CC(=O)NCCN1CCOCC1,16.1,,70,10.1097/00004424-199111001-00074
152,DTPA-MPEA2,O=C(O)CN(CCN(CC(=O)O)CC(=O)NCCN1CCOCC1)CCN(CC(=O)O)CC(=O)NCCN1CCOCC1,20.82,,66,10.1097/00004424-199009001-00026
153,DTPA-APD [e],O=C(O)CN(CCN(CC(=O)O)CC(=O)NCC(O)CO)CCN(CC(=O)O)CC(=O)NCC(O)CO,15.32,0.15,50,10.1002/mrm.1910080208
154,DTPA-BMMOA,CN(CCN1CCOCC1)C(=O)CN(CCN(CCN(CC(=O)O)CC(=O)N(C)CCN1CCOCC1)CC(=O)O)CC(=O)O,20.3,,70,10.1097/00004424-199111001-00074
155a,"rac-trans-BDTA, ac-DBTA, rac-DIMEDTA",CC(C(C)N(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,18.64,,116,10.1016/0022-1902(71)80023-4
155a,"rac-trans-BDTA, ac-DBTA, rac-DIMEDTA",CC(C(C)N(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,18.78,,78,10.1016/s0003-2670(01)95804-0
155a,"rac-trans-BDTA, ac-DBTA, rac-DIMEDTA",CC(C(C)N(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,18.84,0.14,117,10.1021/ac60243a032
155b,"cis-BDTA, meso-DBTA, meso-DIMEDTA",CC(C(C)N(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,16.51,0.08,118,10.1016/0022-1902(71)80024-6
155b,"cis-BDTA, meso-DBTA, meso-DIMEDTA",CC(C(C)N(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,17.03,,116,10.1016/0022-1902(71)80023-4
156,ENDPDA,O=C(O)CCN(CCN(CCC(=O)O)CC(=O)O)CC(=O)O,11.83,0.01,119,10.1016/s0020-1693(00)80040-7
156,ENDPDA,O=C(O)CCN(CCN(CCC(=O)O)CC(=O)O)CC(=O)O,13.21,0.01,119,10.1016/s0020-1693(00)80040-7
156,ENDPDA,O=C(O)CCN(CCN(CCC(=O)O)CC(=O)O)CC(=O)O,15.35,,46,10.1016/0022-1902(81)80122-4
157,EEDTA,O=C(O)CN(CCOCCN(CC(=O)O)CC(=O)O)CC(=O)O,18.13,0.08,86,10.1021/j100808a028
157,EEDTA,O=C(O)CN(CCOCCN(CC(=O)O)CC(=O)O)CC(=O)O,18.21,0.02,86,10.1021/j100808a028
157,EEDTA,O=C(O)CN(CCOCCN(CC(=O)O)CC(=O)O)CC(=O)O,18.3,,120,10.1007/978-1-4613-4452-0
158,HBED,O=C(O)CN(CCN(CC(=O)O)Cc1ccccc1O)Cc1ccccc1O,18.89,,121,10.1016/0020-1693(94)04012-5
158,HBED,O=C(O)CN(CCN(CC(=O)O)Cc1ccccc1O)Cc1ccccc1O,19.16,,122,10.1515/ci.2000.22.1.24a
