ID,name,smiles,lgK,delta,ref_num,doi
14,DTPA-cisC=C-BAM,O=C(O)CN1CCN(CC(=O)O)CC(=O)NC/C=C\CNC(=O)CN(CC(=O)O)CC1,15.56,0.04,7,10.1021/ic00046a015
15,DTPA-PAM,O=C(O)CN1CCN(CC(=O)O)CC(=O)NCCCNC(=O)CN(CC(=O)O)CC1,14.49,0.32,7,10.1021/ic00046a015
16,EDTA-DAM,O=C(O)CN1CCNC(=O)CN(CC(=O)O)CCN(CC(=O)O)CC(=O)NCC1,15.14,0.57,7,10.1021/ic00046a015
16,EDTA-DAM,O=C(O)CN1CCNC(=O)CN(CC(=O)O)CCN(CC(=O)O)CC(=O)NCC1,15.3,,6,10.1021/ic00091a032
17,N-ac3[15]aneN3O2,O=C(O)CN1CCOCCN(CC(=O)O)CCN(CC(=O)O)CCOCC1,17.23,0.01,8,10.1021/ic00067a022
17,N-ac3[15]aneN3O2,O=C(O)CN1CCOCCN(CC(=O)O)CCN(CC(=O)O)CCOCC1,17.3,,12,10.1016/s0020-1693(97)05660-0
18,N-ac3[15]aneN3O2-Me3,CC(C(=O)O)N1CCOCCN(C(C)C(=O)O)CCN(C(C)C(=O)O)CCOCC1,11.49,,13,10.1006/mchj.1996.0026
19,"DAPDA, K21DA",O=C(O)CN1CCOCCOCCN(CC(=O)O)CCOCC1,11.66,0.1,14,10.1021/ic00223a025
20,TETA,O=C(O)CN1CCCN(CC(=O)O)CCN(CC(=O)O)CCCN(CC(=O)O)CC1,13.77,0.02,15,10.1016/s0020-1693(00)80229-7
20,TETA,O=C(O)CN1CCCN(CC(=O)O)CCN(CC(=O)O)CCCN(CC(=O)O)CC1,14.73,0.05,16,10.1021/ic00006a021
21,TRITA,O=C(O)CN1CCCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,19.17,0.06,15,10.1016/s0020-1693(00)80229-7
22,DOTA,O=C(O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,22.1,0.1,17,10.1021/ic00032a034
22,DOTA,O=C(O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,23.6,,18,10.1016/0020-1693(94)03964-x
22,DOTA,O=C(O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,24,0.1,15,10.1016/s0020-1693(00)80229-7
22,DOTA,O=C(O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,24.6,0.1,19,10.1021/ic00253a038
22,DOTA,O=C(O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,24.67,0.07,20,10.1016/0020-1693(96)05182-1
