ID,sourceID,smiles,doi,source,lgK
rev_141,B29,CN1CCN(Cc2cccc(C(=O)O)n2)CCN(C)CCN(Cc2cccc(C(=O)O)n2)CC1,10.1039/C4DT02985B,uzal2022,17.59
rev_042,42,O=C(O)C(COCc1ccccc1)N1CCNCCN(C(COCc2ccccc2)C(=O)O)CCN(C(COCc2ccccc2)C(=O)O)CC1,10.1016/s0010-8545(99)00237-4,dioury2014,18.21
rev_159,A3,O=C(O)CN(CCN(CCN(CC(=O)O)CC(=O)O)C(COCc1ccccc1)C(=O)O)CC(=O)O,10.1016/S0010-8545(99)00237-4,uzal2022,22.23
rev_012,12,O=C(O)CN1CCOCCOCCN(CC(=O)O)CCOCCOCC1,10.1021/ic00168a010,dioury2014,11.93
rev_169,A35,CCCCCNC(=O)CN(CCCN(CCN(CC(=O)O)CC(=O)NCCCCC)CC(=O)O)CC(=O)O,10.1039/b506702b,uzal2022,13.44
rev_197,B16,NCCNC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,10.1039/C4DT03939D,uzal2022,22.25
rev_041,41,O=C(O)C(CO)N1CCNCCN(C(CO)C(=O)O)CCN(C(CO)C(=O)O)CC1,10.1039/a909098c,dioury2014,18.82
rev_071,71,CNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CC(=O)O,10.1039/b005298l,dioury2014,19.3
rev_167,A31,O=C(O)CN(CCN(CC(=O)O)C[C@H](COP(=O)(O)OC1CCC(c2ccccc2)(c2ccccc2)CC1)N(CC(=O)O)CC(=O)O)CC(=O)O,10.1021/ic001117r,uzal2022,22.06
rev_043,43,O=C(O)CN1CCN(CCO)CCN(CC(=O)O)CCN(CCO)CC1,10.1021/ic961131x,dioury2014,21.1
rev_211,D2,O=C(O)c1cccc(CN2CCOCCOCCN(Cc3cccc(C(=O)O)n3)CCOCCOCC2)n1,10.1021/ja808534w,uzal2022,13.02
rev_160,A5,CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,10.1021/ic800512k,uzal2022,18.6
rev_078,78,O=C(O)CN(CCCN(CCN(CC(=O)O)CC(=O)O)CC(O)c1ccccc1)CC(=O)O,10.1039/b107456n,dioury2014,17.44
rev_097,97,O=C(O)CN(CCN(CC(=O)O)Cc1ccccn1)CCN(CC(=O)O)Cc1ccccn1,10.1016/0730-725x(90)90055-7,dioury2014,16.83
rev_055,C3,O=C(O)CN1CCN(Cc2cccc(C(=O)O)n2)CCN(Cc2cccc(C(=O)O)n2)CC1,10.1002/chem.200501390 ,uzal2022,15.8
rev_191,B9,O=P(O)(O)CN1CCN(CP(=O)(O)O)CCN(CP(=O)(O)O)CCN(CP(=O)(O)O)CC1,10.1021/ic9600590,uzal2022,28.8
rev_087,87,O=C(O)CN(CCN(CC(=O)O)CC(=O)NC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3)CCN(CC(=O)O)CC(=O)NC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3,10.1016/s0277-5387(97)00476-2,dioury2014,16.85
